Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
TNR,Q92752,TENR_HUMAN,Tenascin-R,166925478.7,23924541.06,Bulk enriched,-3.05,0.000107316,0.371
PTPRS,Q13332,PTPRS_HUMAN,Receptor-type tyrosine-protein phosphatase S,5242600.274,611053.8547,Bulk enriched,-3.07,1.13329E-05,0.178
NDRG3,Q9UGV2,NDRG3_HUMAN,Protein NDRG3,9265993.304,1417910.43,Bulk enriched,-3.07,0.000218432,0.437
CACYBP,Q9HB71,CYBP_HUMAN,Calcyclin-binding protein,9375705.31,1427091.553,Bulk enriched,-3.07,0.000250531,0.449
ST13,P50502,F10A1_HUMAN,Hsc70-interacting protein,33390053.85,5142831.273,Bulk enriched,-3.07,0.000346357,0.475
SORD,Q00796,DHSO_HUMAN,Sorbitol dehydrogenase,8554765.15,996748.8141,Bulk enriched,-3.08,1.19502E-05,0.18
PTPN11,Q06124,PTN11_HUMAN,Tyrosine-protein phosphatase non-receptor type 11,22826704.55,2781449.281,Bulk enriched,-3.08,1.38979E-05,0.19
PCLO,Q9Y6V0,PCLO_HUMAN,Protein piccolo,2192353.915,272872.1216,Bulk enriched,-3.08,6.69446E-05,0.302
RPH3A,Q9Y2J0,RP3A_HUMAN,Rabphilin-3A,10376636.16,1315868.521,Bulk enriched,-3.08,0.000481479,0.5
DENR,O43583,DENR_HUMAN,Density-regulated protein,6122613.654,1047583.833,Bulk enriched,-3.08,0.001031416,0.567
CD200,P41217,OX2G_HUMAN,OX-2 membrane glycoprotein,12338438.39,1444263.258,Bulk enriched,-3.09,5.51058E-06,0.139
ADSS2,P30520,PURA2_HUMAN,Adenylosuccinate synthetase isozyme 2,7918771.443,941673.354,Bulk enriched,-3.09,1.1761E-05,0.18
ENOPH1,Q9UHY7,ENOPH_HUMAN,Enolase-phosphatase E1,11015333.08,1236840.739,Bulk enriched,-3.09,1.92067E-05,0.215
MVD,P53602,MVD1_HUMAN,Diphosphomevalonate decarboxylase,17672241.16,2150568.315,Bulk enriched,-3.09,2.01867E-05,0.219
PAICS,P22234,PUR6_HUMAN,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,34936299.92,4615523.522,Bulk enriched,-3.09,2.23925E-05,0.257
MACROD2,A1Z1Q3,MACD2_HUMAN,ADP-ribose glycohydrolase MACROD2,3106225.696,364121.4046,Bulk enriched,-3.09,0.000731492,0.468
TMEM178B,H3BS89,T178B_HUMAN,Transmembrane protein 178B,1413604.42,139959.8155,Bulk enriched,-3.09,0.001311666,0.547
DLG2,Q15700,DLG2_HUMAN,Disks large homolog 2,8165463.937,979291.2976,Bulk enriched,-3.1,3.98383E-06,0.151
DLG4,P78352,DLG4_HUMAN,Disks large homolog 4,11985362.13,1516271.456,Bulk enriched,-3.1,5.02552E-05,0.307
MTPN,P58546,MTPN_HUMAN,Myotrophin,2749312.52,286618.7526,Bulk enriched,-3.1,7.22373E-05,0.307
SH3GL3,Q99963,SH3G3_HUMAN,Endophilin-A3,17874491.14,2274682.639,Bulk enriched,-3.11,1.15448E-05,0.211
SNCA,P37840,SYUA_HUMAN,Alpha-synuclein,60334734.94,7587124.045,Bulk enriched,-3.11,2.76805E-05,0.272
APEH,P13798,ACPH_HUMAN,Acylamino-acid-releasing enzyme,9654065.318,1347526.357,Bulk enriched,-3.11,8.34634E-05,0.351
PDIA2,Q13087,PDIA2_HUMAN,Protein disulfide-isomerase A2,1241219.027,113920.8842,Bulk enriched,-3.11,0.008238292,0.72
PPM1A,P35813,PPM1A_HUMAN,Protein phosphatase 1A,7527714.241,884560.8868,Bulk enriched,-3.13,1.08064E-05,0.175
PFKM,P08237,PFKAM_HUMAN,"ATP-dependent 6-phosphofructokinase, muscle type",47530545.92,6091195.275,Bulk enriched,-3.14,2.43614E-05,0.263
PRRT1,Q99946,PRRT1_HUMAN,Proline-rich transmembrane protein 1,2022513.608,260002.4453,Bulk enriched,-3.14,6.55865E-05,0.301
TANGO2,Q6ICL3,TNG2_HUMAN,Transport and Golgi organization protein 2 homolog,3904360.082,440953.0968,Bulk enriched,-3.14,0.000660057,0.457
DPP6,P42658,DPP6_HUMAN,Dipeptidyl aminopeptidase-like protein 6,35475087.06,4415028.291,Bulk enriched,-3.15,2.60749E-05,0.268
GPRIN1,Q7Z2K8,GRIN1_HUMAN,G protein-regulated inducer of neurite outgrowth 1,21084605.02,2490876.675,Bulk enriched,-3.15,8.32188E-05,0.291
VCAN,P13611,CSPG2_HUMAN,Versican core protein,244343728.6,33594509.69,Bulk enriched,-3.15,0.000319723,0.469
MGST1,P10620,MGST1_HUMAN,Microsomal glutathione S-transferase 1,2030874.316,198096.5069,Bulk enriched,-3.15,0.000731204,0.495
AMPH,P49418,AMPH_HUMAN,Amphiphysin,103617830.5,12315161.75,Bulk enriched,-3.16,5.15763E-06,0.164
SGIP1,Q9BQI5,SGIP1_HUMAN,SH3-containing GRB2-like protein 3-interacting protein 1,13300022.44,1522721.575,Bulk enriched,-3.16,1.73567E-05,0.207
HPRT1,P00492,HPRT_HUMAN,Hypoxanthine-guanine phosphoribosyltransferase,25187563.36,3005885.497,Bulk enriched,-3.16,1.97036E-05,0.249
PRRT3,Q5FWE3,PRRT3_HUMAN,Proline-rich transmembrane protein 3,2961706.659,350131.1512,Bulk enriched,-3.16,3.27181E-05,0.255
UTP11,Q9Y3A2,UTP11_HUMAN,Probable U3 small nucleolar RNA-associated protein 11,10172434.94,1506436.78,Bulk enriched,-3.16,0.017380579,0.767
GCLC,P48506,GSH1_HUMAN,Glutamate--cysteine ligase catalytic subunit,7765122.122,854114.1704,Bulk enriched,-3.17,1.01005E-05,0.172
FSCN1,Q16658,FSCN1_HUMAN,Fascin,75097775.12,9517709.368,Bulk enriched,-3.17,2.16048E-05,0.255
CPNE6,O95741,CPNE6_HUMAN,Copine-6,7227507.352,962210.0841,Bulk enriched,-3.17,6.58476E-05,0.33
CSPG5,O95196,CSPG5_HUMAN,Chondroitin sulfate proteoglycan 5,3156717.949,352620.9797,Bulk enriched,-3.17,7.79389E-05,0.286
CRYM,Q14894,CRYM_HUMAN,Ketimine reductase mu-crystallin,19966071.14,2504525.147,Bulk enriched,-3.17,0.000272589,0.456
SV2B,Q7L1I2,SV2B_HUMAN,Synaptic vesicle glycoprotein 2B,21255793.43,2326108.287,Bulk enriched,-3.18,5.45534E-05,0.312
KIF2A,O00139,KIF2A_HUMAN,Kinesin-like protein KIF2A,7165381.449,1125569.366,Bulk enriched,-3.18,0.000533383,0.507
TCEAL4,Q96EI5,TCAL4_HUMAN,Transcription elongation factor A protein-like 4,1062319.934,116489.8909,Bulk enriched,-3.18,0.000638593,0.454
RGN,Q15493,RGN_HUMAN,Regucalcin,4121071.032,446085.1329,Bulk enriched,-3.19,4.68172E-05,0.247
CCDC39,Q9UFE4,CCD39_HUMAN,Coiled-coil domain-containing protein 39,3440778.197,385993.9471,Bulk enriched,-3.19,6.58898E-05,0.274
CRTC1,Q6UUV9,CRTC1_HUMAN,CREB-regulated transcription coactivator 1,2133922.531,255003.3107,Bulk enriched,-3.19,9.68337E-05,0.3
SCN3B,Q9NY72,SCN3B_HUMAN,Sodium channel subunit beta-3,5879562.751,697355.3464,Bulk enriched,-3.2,3.27471E-05,0.255
CADM1,Q9BY67,CADM1_HUMAN,Cell adhesion molecule 1,15563732.58,1677524.142,Bulk enriched,-3.21,7.20623E-06,0.154
FAH,P16930,FAAA_HUMAN,Fumarylacetoacetase,3619130.889,404130.8681,Bulk enriched,-3.22,8.82778E-06,0.165
CARNS1,A5YM72,CRNS1_HUMAN,Carnosine synthase 1,12059794.4,1230383.824,Bulk enriched,-3.22,4.05437E-05,0.27
DCLK1,O15075,DCLK1_HUMAN,Serine/threonine-protein kinase DCLK1,8952336.979,1234342.773,Bulk enriched,-3.23,0.000109221,0.373
IGHV3-15,A0A0B4J1V0,HV315_HUMAN,Immunoglobulin heavy variable 3-15,16316312.88,3176064.244,Bulk enriched,-3.23,0.008800486,0.744
SNAP91,O60641,AP180_HUMAN,Clathrin coat assembly protein AP180,54619994.72,6021939.62,Bulk enriched,-3.24,4.12837E-06,0.153
NDEL1,Q9GZM8,NDEL1_HUMAN,Nuclear distribution protein nudE-like 1,1809362.056,193614.804,Bulk enriched,-3.24,5.23946E-06,0.136
CBS,P35520,CBS_HUMAN,Cystathionine beta-synthase,3533368.022,399483.4938,Bulk enriched,-3.24,4.01213E-05,0.27
AARS1,P49588,SYAC_HUMAN,"Alanine--tRNA ligase, cytoplasmic",36564480.65,4560603.189,Bulk enriched,-3.24,6.16966E-05,0.324
WDR17,Q8IZU2,WDR17_HUMAN,WD repeat-containing protein 17,1255473.873,130847.7779,Bulk enriched,-3.24,0.00065571,0.457
DPYSL5,Q9BPU6,DPYL5_HUMAN,Dihydropyrimidinase-related protein 5,241511091.2,26185967.44,Bulk enriched,-3.25,7.48011E-06,0.182
PTPRN,Q16849,PTPRN_HUMAN,Receptor-type tyrosine-protein phosphatase-like N,1683396.372,173760.4894,Bulk enriched,-3.25,7.20961E-05,0.281
PLEKHB1,Q9UF11,PKHB1_HUMAN,Pleckstrin homology domain-containing family B member 1,4720519.242,629453.2952,Bulk enriched,-3.25,0.000164596,0.381
PPAT,Q06203,PUR1_HUMAN,Amidophosphoribosyltransferase,2961649.24,323729.9405,Bulk enriched,-3.26,8.98888E-06,0.166
MAPRE3,Q9UPY8,MARE3_HUMAN,Microtubule-associated protein RP/EB family member 3,28570408.92,3352191.216,Bulk enriched,-3.26,2.3152E-05,0.26
NCAM2,O15394,NCAM2_HUMAN,Neural cell adhesion molecule 2,29924958.16,3719162.341,Bulk enriched,-3.26,4.61323E-05,0.302
CDH4,P55283,CADH4_HUMAN,Cadherin-4,1888491.319,188257.676,Bulk enriched,-3.26,0.000993681,0.496
PCMT1,P22061,PIMT_HUMAN,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,43772401.13,4701677.987,Bulk enriched,-3.27,2.34529E-06,0.12
PMP2,P02689,MYP2_HUMAN,Myelin P2 protein,76894894.67,7523790.457,Bulk enriched,-3.27,0.000555317,0.493
CHCHD6,Q9BRQ6,MIC25_HUMAN,MICOS complex subunit MIC25,6043549.543,817813.5332,Bulk enriched,-3.27,0.000565801,0.512
PACSIN1,Q9BY11,PACN1_HUMAN,Protein kinase C and casein kinase substrate in neurons protein 1,88062719.9,10794630.51,Bulk enriched,-3.28,4.60409E-05,0.302
PAFAH1B2,P68402,PA1B2_HUMAN,Platelet-activating factor acetylhydrolase IB subunit alpha2,41618913.61,5052804.188,Bulk enriched,-3.28,4.98201E-05,0.306
PIN1,Q13526,PIN1_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,39841124.63,4103453.013,Bulk enriched,-3.29,3.7342E-06,0.113
SEZ6L2,Q6UXD5,SE6L2_HUMAN,Seizure 6-like protein 2,2976677.761,323950.2705,Bulk enriched,-3.29,1.88043E-05,0.213
GLUL,P15104,GLNA_HUMAN,Glutamine synthetase,88569988.12,9541268.848,Bulk enriched,-3.29,4.96015E-05,0.306
ITPK1,Q13572,ITPK1_HUMAN,Inositol-tetrakisphosphate 1-kinase,4555525.571,465621.637,Bulk enriched,-3.3,3.78488E-06,0.114
PCDH10,Q9P2E7,PCD10_HUMAN,Protocadherin-10,1708755.875,181812.9138,Bulk enriched,-3.3,8.13066E-06,0.161
MAP2K1,Q02750,MP2K1_HUMAN,Dual specificity mitogen-activated protein kinase kinase 1,35499275.17,4223362.862,Bulk enriched,-3.3,2.57133E-05,0.267
SYNPR,Q8TBG9,SYNPR_HUMAN,Synaptoporin,9497039.382,892252.6777,Bulk enriched,-3.31,2.65228E-05,0.239
FN3KRP,Q9HA64,KT3K_HUMAN,Ketosamine-3-kinase,6059374.267,744797.534,Bulk enriched,-3.31,4.0862E-05,0.296
ATP6V1G2,O95670,VATG2_HUMAN,V-type proton ATPase subunit G 2,5293092.019,577105.7597,Bulk enriched,-3.31,8.9019E-05,0.325
HSPA4L,O95757,HS74L_HUMAN,Heat shock 70 kDa protein 4L,10581528.14,1424041.785,Bulk enriched,-3.31,0.000254522,0.45
WASF1,Q92558,WASF1_HUMAN,Actin-binding protein WASF1,8344476.576,840507.9298,Bulk enriched,-3.32,4.1618E-06,0.121
NDRG4,Q9ULP0,NDRG4_HUMAN,Protein NDRG4,15486162.16,1583963.896,Bulk enriched,-3.32,5.59154E-06,0.14
CNP,P09543,CN37_HUMAN,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",829528811.9,103028253.6,Bulk enriched,-3.32,3.95124E-05,0.294
GLO1,Q04760,LGUL_HUMAN,Lactoylglutathione lyase,45440899.22,5203250.693,Bulk enriched,-3.33,2.56403E-05,0.267
NEO1,Q92859,NEO1_HUMAN,Neogenin,4306703.383,449407.7017,Bulk enriched,-3.34,7.21397E-06,0.155
AK1,P00568,KAD1_HUMAN,Adenylate kinase isoenzyme 1,23092941.38,2770971.622,Bulk enriched,-3.34,5.99843E-05,0.321
RTKN,Q9BST9,RTKN_HUMAN,Rhotekin,2022023.747,197385.1706,Bulk enriched,-3.34,9.27452E-05,0.298
NRGN,Q92686,NEUG_HUMAN,Neurogranin,19155425.16,1995733.244,Bulk enriched,-3.35,5.33133E-06,0.166
GPI,P06744,G6PI_HUMAN,Glucose-6-phosphate isomerase,117325037.4,12763616.97,Bulk enriched,-3.35,1.34565E-05,0.222
CNDP1,Q96KN2,CNDP1_HUMAN,Beta-Ala-His dipeptidase,3786683.504,363302.3476,Bulk enriched,-3.35,1.83774E-05,0.212
PRPH,P41219,PERI_HUMAN,Peripherin,35786213.31,4198445.842,Bulk enriched,-3.35,4.63833E-05,0.303
SHISA4,Q96DD7,SHSA4_HUMAN,Protein shisa-4,7937913.874,962795.2113,Bulk enriched,-3.35,9.90626E-05,0.365
UBE2D4,Q9Y2X8,UB2D4_HUMAN,Ubiquitin-conjugating enzyme E2 D4,1821080.077,175220.8221,Bulk enriched,-3.35,0.000582247,0.444
RAP1GAP2,Q684P5,RPGP2_HUMAN,Rap1 GTPase-activating protein 2,6755083.576,671730.7166,Bulk enriched,-3.36,7.69682E-06,0.158
OLA1,Q9NTK5,OLA1_HUMAN,Obg-like ATPase 1,29211967.31,3350181.519,Bulk enriched,-3.36,3.26255E-05,0.282
DPYSL2,Q16555,DPYL2_HUMAN,Dihydropyrimidinase-related protein 2,1778766008,183024657.3,Bulk enriched,-3.37,4.79401E-06,0.161
CNTNAP1,P78357,CNTP1_HUMAN,Contactin-associated protein 1,32521141.56,3569775.66,Bulk enriched,-3.37,9.23938E-06,0.195
HSPH1,Q92598,HS105_HUMAN,Heat shock protein 105 kDa,22223833.13,2510358.397,Bulk enriched,-3.37,2.19546E-05,0.256
L1CAM,P32004,L1CAM_HUMAN,Neural cell adhesion molecule L1,27303573.65,3168816.746,Bulk enriched,-3.37,7.36743E-05,0.34
CTH,P32929,CGL_HUMAN,Cystathionine gamma-lyase,1222857.986,114797.0797,Bulk enriched,-3.37,0.000659468,0.457
ADAM22,Q9P0K1,ADA22_HUMAN,Disintegrin and metalloproteinase domain-containing protein 22,13790012.74,1329201.154,Bulk enriched,-3.38,2.48202E-06,0.0891
FKBP1A,P62942,FKB1A_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP1A,46364286.54,4621879.299,Bulk enriched,-3.38,3.15471E-06,0.138
HCN1,O60741,HCN1_HUMAN,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,2940102.693,349979.6146,Bulk enriched,-3.38,0.000159673,0.378
OTUD7B,Q6GQQ9,OTU7B_HUMAN,OTU domain-containing protein 7B,2190997.207,194203.3186,Bulk enriched,-3.38,0.00141173,0.527
ADAM23,O75077,ADA23_HUMAN,Disintegrin and metalloproteinase domain-containing protein 23,11203316.72,1073466.616,Bulk enriched,-3.39,3.16557E-06,0.102
USP14,P54578,UBP14_HUMAN,Ubiquitin carboxyl-terminal hydrolase 14,24573068.92,2651423.154,Bulk enriched,-3.39,6.79967E-06,0.177
PDXP,Q96GD0,PLPP_HUMAN,Chronophin,16878929.54,1800713.348,Bulk enriched,-3.39,2.12043E-05,0.254
TCEAL3,Q969E4,TCAL3_HUMAN,Transcription elongation factor A protein-like 3,8096999.734,657825.854,Bulk enriched,-3.39,9.05418E-05,0.327
UBE2M,P61081,UBC12_HUMAN,NEDD8-conjugating enzyme Ubc12,21381144.49,2601756.906,Bulk enriched,-3.39,9.90252E-05,0.365
PTPRZ1,P23471,PTPRZ_HUMAN,Receptor-type tyrosine-protein phosphatase zeta,80709494.91,8016722.165,Bulk enriched,-3.4,6.2799E-06,0.173
SYNJ1,O43426,SYNJ1_HUMAN,Synaptojanin-1,52683675.43,5623112.192,Bulk enriched,-3.42,1.50895E-05,0.23
CXADR,P78310,CXAR_HUMAN,Coxsackievirus and adenovirus receptor,7412881.37,686775.646,Bulk enriched,-3.43,2.65305E-06,0.0926
RIMBP2,O15034,RIMB2_HUMAN,RIMS-binding protein 2,169806684.1,43733673.82,Bulk enriched,-3.43,0.009606726,0.742
CHL1,O00533,NCHL1_HUMAN,Neural cell adhesion molecule L1-like protein,17412134.98,1706841.783,Bulk enriched,-3.44,3.59198E-06,0.146
PGD,P52209,6PGD_HUMAN,"6-phosphogluconate dehydrogenase, decarboxylating",52180792.79,6086552.49,Bulk enriched,-3.44,7.00586E-05,0.335
SEPTIN3,Q9UH03,SEPT3_HUMAN,Neuronal-specific septin-3,57422093.94,5775098.662,Bulk enriched,-3.44,8.036E-05,0.347
ACYP1,P07311,ACYP1_HUMAN,Acylphosphatase-1,2434673.779,249611.0765,Bulk enriched,-3.44,0.000398719,0.439
PTPRN2,Q92932,PTPR2_HUMAN,Receptor-type tyrosine-protein phosphatase N2,974659.2796,83007.91934,Bulk enriched,-3.44,0.001445379,0.529
CADM2,Q8N3J6,CADM2_HUMAN,Cell adhesion molecule 2,48821433.44,5079758.496,Bulk enriched,-3.46,1.08858E-05,0.207
SVOP,Q8N4V2,SVOP_HUMAN,Synaptic vesicle 2-related protein,2163042.894,177705.7433,Bulk enriched,-3.46,0.000175561,0.355
CST3,P01034,CYTC_HUMAN,Cystatin-C,22430746.33,2666964.676,Bulk enriched,-3.47,0.000124283,0.384
CASTOR2,A6NHX0,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2,1105245.278,96379.56236,Bulk enriched,-3.48,0.000510128,0.43
MAP2,P11137,MTAP2_HUMAN,Microtubule-associated protein 2,63330520.32,5947666.19,Bulk enriched,-3.49,2.87053E-06,0.133
SEC14L2,O76054,S14L2_HUMAN,SEC14-like protein 2,5914021.558,510325.2159,Bulk enriched,-3.49,4.64068E-06,0.128
PHPT1,Q9NRX4,PHP14_HUMAN,14 kDa phosphohistidine phosphatase,4699833.131,423570.3022,Bulk enriched,-3.51,1.67807E-05,0.205
HAGH,Q16775,GLO2_HUMAN,"Hydroxyacylglutathione hydrolase, mitochondrial",27688469.69,3326596.365,Bulk enriched,-3.51,0.000179478,0.419
SCRN1,Q12765,SCRN1_HUMAN,Secernin-1,38050921.51,3644863.381,Bulk enriched,-3.53,3.88742E-06,0.15
CHPF2,Q9P2E5,CHPF2_HUMAN,Chondroitin sulfate glucuronyltransferase,2375972.783,227118.1076,Bulk enriched,-3.53,2.31044E-05,0.228
ACAT2,Q9BWD1,THIC_HUMAN,"Acetyl-CoA acetyltransferase, cytosolic",20521514.99,2219536.665,Bulk enriched,-3.53,4.49837E-05,0.301
SLC7A14,Q8TBB6,S7A14_HUMAN,Solute carrier family 7 member 14,2296515.246,184096.1244,Bulk enriched,-3.54,0.000972345,0.494
ALDH1L1,O75891,AL1L1_HUMAN,Cytosolic 10-formyltetrahydrofolate dehydrogenase,10023150.91,849538.9068,Bulk enriched,-3.55,2.87448E-06,0.0966
CYB5R2,Q6BCY4,NB5R2_HUMAN,NADH-cytochrome b5 reductase 2,9813950.26,816148.9271,Bulk enriched,-3.55,1.31575E-05,0.185
PRRT2,Q7Z6L0,PRRT2_HUMAN,Proline-rich transmembrane protein 2,33378189.78,3384534.494,Bulk enriched,-3.55,1.81925E-05,0.243
NCAN,O14594,NCAN_HUMAN,Neurocan core protein,36443956.96,3700837.773,Bulk enriched,-3.55,1.86179E-05,0.245
SLC24A4,Q8NFF2,NCKX4_HUMAN,Sodium/potassium/calcium exchanger 4,1555156.977,134254.4846,Bulk enriched,-3.55,2.65479E-05,0.201
GCSH,P23434,GCSH_HUMAN,"Glycine cleavage system H protein, mitochondrial",5096437.008,489108.7572,Bulk enriched,-3.55,7.04142E-05,0.305
ALDH1L2,Q3SY69,AL1L2_HUMAN,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,3579913.235,309645.7518,Bulk enriched,-3.57,2.73042E-05,0.203
GOLGA7B,Q2TAP0,GOG7B_HUMAN,Golgin subfamily A member 7B,1733977.354,142497.2658,Bulk enriched,-3.59,1.63339E-05,0.169
KCNA2,P16389,KCNA2_HUMAN,Potassium voltage-gated channel subfamily A member 2,9050986.859,760329.21,Bulk enriched,-3.6,1.86204E-06,0.074
SIRPA,P78324,SHPS1_HUMAN,Tyrosine-protein phosphatase non-receptor type substrate 1,68906842.89,6947868.405,Bulk enriched,-3.6,1.98139E-05,0.249
STMN3,Q9NZ72,STMN3_HUMAN,Stathmin-3,2800345.945,232195.8353,Bulk enriched,-3.61,9.01425E-06,0.166
FXYD7,P58549,FXYD7_HUMAN,FXYD domain-containing ion transport regulator 7,10170058.63,889152.0874,Bulk enriched,-3.61,3.12269E-05,0.214
UBE2E2,Q96LR5,UB2E2_HUMAN,Ubiquitin-conjugating enzyme E2 E2,2740284.428,309914.6389,Bulk enriched,-3.62,0.000248506,0.389
SH3BGRL,O75368,SH3L1_HUMAN,Adapter SH3BGRL,16176470.32,1460577.454,Bulk enriched,-3.63,1.89333E-05,0.246
UBE2V1,Q13404,UB2V1_HUMAN,Ubiquitin-conjugating enzyme E2 variant 1,54074227.98,4848405.074,Bulk enriched,-3.64,6.57235E-06,0.175
ABAT,P80404,GABT_HUMAN,"4-aminobutyrate aminotransferase, mitochondrial",52875553.44,4438986.197,Bulk enriched,-3.64,6.79219E-06,0.177
STMN2,Q93045,STMN2_HUMAN,Stathmin-2,1606134.067,128383.0157,Bulk enriched,-3.64,0.000228541,0.341
SHTN1,A0MZ66,SHOT1_HUMAN,Shootin-1,6783255.177,509647.3769,Bulk enriched,-3.65,1.01196E-05,0.172
ASPA,P45381,ACY2_HUMAN,Aspartoacylase,5629182.711,504389.8561,Bulk enriched,-3.65,2.18196E-05,0.224
CCDC25,Q86WR0,CCD25_HUMAN,Coiled-coil domain-containing protein 25,3179608.712,276230.8191,Bulk enriched,-3.65,3.1856E-05,0.216
CORO1A,P31146,COR1A_HUMAN,Coronin-1A,40268794.59,4246618.769,Bulk enriched,-3.66,8.67774E-05,0.354
STMN1,P16949,STMN1_HUMAN,Stathmin,37894975.56,3215767.75,Bulk enriched,-3.67,2.25145E-06,0.118
JPT1,Q9UK76,JUPI1_HUMAN,Jupiter microtubule associated homolog 1,3609063.8,268114.5909,Bulk enriched,-3.67,0.000557986,0.44
OXR1,Q8N573,OXR1_HUMAN,Oxidation resistance protein 1,25169364.38,2020898.918,Bulk enriched,-3.68,5.15067E-07,0.0433
GAP43,P17677,NEUM_HUMAN,Neuromodulin,80120521.25,7623772.292,Bulk enriched,-3.68,2.04702E-05,0.251
COTL1,Q14019,COTL1_HUMAN,Coactosin-like protein,5872022.335,424489.3323,Bulk enriched,-3.68,7.05168E-05,0.279
SNCB,Q16143,SYUB_HUMAN,Beta-synuclein,16338945.41,1140372.553,Bulk enriched,-3.68,0.000127755,0.387
ACAN,P16112,PGCA_HUMAN,Aggrecan core protein,8695747.016,1075201.7,Bulk enriched,-3.7,0.000777479,0.536
UCHL1,P09936,UCHL1_HUMAN,Ubiquitin carboxyl-terminal hydrolase isozyme L1,79435526.16,5933172.312,Bulk enriched,-3.71,1.15164E-05,0.211
MAP7,Q14244,MAP7_HUMAN,Ensconsin,3096236.489,211917.61,Bulk enriched,-3.71,1.27843E-05,0.184
HAPLN1,P10915,HPLN1_HUMAN,Hyaluronan and proteoglycan link protein 1,23586947.9,2647535.485,Bulk enriched,-3.71,0.000290367,0.461
ZC2HC1A,Q96GY0,ZC21A_HUMAN,Zinc finger C2HC domain-containing protein 1A,5263559.262,432714.8197,Bulk enriched,-3.72,3.80006E-06,0.114
CSRP1,P21291,CSRP1_HUMAN,Cysteine and glycine-rich protein 1,64228959.99,5619552.528,Bulk enriched,-3.72,2.76642E-05,0.272
SEZ6L,Q9BYH1,SE6L1_HUMAN,Seizure 6-like protein,3070238.935,250396.0468,Bulk enriched,-3.73,8.19589E-06,0.161
NFASC,O94856,NFASC_HUMAN,Neurofascin,64467938.38,5550536.804,Bulk enriched,-3.75,6.21568E-06,0.173
FABP7,O15540,FABP7_HUMAN,"Fatty acid-binding protein, brain",6219125.587,465893.02,Bulk enriched,-3.75,1.5932E-05,0.201
CNRIP1,Q96F85,CNRP1_HUMAN,CB1 cannabinoid receptor-interacting protein 1,21347212.79,2033836.726,Bulk enriched,-3.75,4.33587E-05,0.299
CBARP,Q8N350,CBARP_HUMAN,Voltage-dependent calcium channel beta subunit-associated regulatory protein,2223621.562,164022.8164,Bulk enriched,-3.75,0.000183277,0.316
PGM1,P36871,PGM1_HUMAN,Phosphoglucomutase-1,23392098.29,2078185.493,Bulk enriched,-3.76,1.27138E-05,0.218
CADM3,Q8N126,CADM3_HUMAN,Cell adhesion molecule 3,37910451.11,3508242.766,Bulk enriched,-3.77,2.82703E-05,0.273
PFAS,O15067,PUR4_HUMAN,Phosphoribosylformylglycinamidine synthase,3993662.161,532668.8524,Bulk enriched,-3.78,0.000841323,0.525
AMER2,Q8N7J2,AMER2_HUMAN,APC membrane recruitment protein 2,14212591.48,1003135.85,Bulk enriched,-3.79,4.42898E-06,0.125
ASRGL1,Q7L266,ASGL1_HUMAN,Isoaspartyl peptidase/L-asparaginase,10002122.97,782398.7819,Bulk enriched,-3.79,5.77115E-06,0.142
CLDN11,O75508,CLD11_HUMAN,Claudin-11,61138669.5,5330333.348,Bulk enriched,-3.79,1.89975E-05,0.246
PAK1,Q13153,PAK1_HUMAN,Serine/threonine-protein kinase PAK 1,21234990.16,1946197.462,Bulk enriched,-3.79,2.99956E-05,0.277
GPD1,P21695,GPDA_HUMAN,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",10998845.97,765719.4971,Bulk enriched,-3.8,2.3874E-06,0.0871
GPR158,Q5T848,MGLYR_HUMAN,Metabotropic glycine receptor,7415683.716,540481.0459,Bulk enriched,-3.81,1.38075E-05,0.189
NECTIN1,Q15223,NECT1_HUMAN,Nectin-1,9033139.935,649551.7064,Bulk enriched,-3.82,1.45176E-06,0.0608
ATOX1,O00244,ATOX1_HUMAN,Copper transport protein ATOX1,3517487.679,235647.1313,Bulk enriched,-3.83,6.91998E-05,0.278
LYSMD1,Q96S90,LYSM1_HUMAN,LysM and putative peptidoglycan-binding domain-containing protein 1,1676585.241,111096.2434,Bulk enriched,-3.83,0.00051208,0.43
GDA,Q9Y2T3,GUAD_HUMAN,Guanine deaminase,24401550.87,1979778.198,Bulk enriched,-3.85,2.98841E-05,0.277
ACOT7,O00154,BACH_HUMAN,Cytosolic acyl coenzyme A thioester hydrolase,53636771.84,4094125.708,Bulk enriched,-3.87,3.54389E-06,0.145
CKB,P12277,KCRB_HUMAN,Creatine kinase B-type,646242372.4,48638562.83,Bulk enriched,-3.87,3.70706E-06,0.147
